"EVTYPE","STATE","total_f","total_i"
"WINTER STORM","NM",5,0
"WINTER WEATHER","CA",5,15
"WINTER WEATHER/MIX","TX",5,15
"WINTER WEATHER/MIX","VA",5,1
"COLD","CA",4,12
"COLD/WIND CHILL","TN",4,0
"EXCESSIVE HEAT","KY",4,138
"EXCESSIVE HEAT","NE",4,0
"EXTREME COLD","CO",4,15
"EXTREME COLD","IA",4,0
"EXTREME COLD","NH",4,1
"EXTREME COLD/WIND CHILL","MI",4,0
"EXTREME WINDCHILL","ND",4,0
"FLASH FLOOD","AS",4,6
"FLASH FLOOD","NH",4,4
"FLASH FLOOD","NV",4,13
"FLASH FLOODING","NC",4,1
"FLOOD","ME",4,1
"FLOOD","MI",4,0
"FLOOD","OK",4,5
"FLOOD","VT",4,5
"FOG","KS",4,16
"HAIL","IA",4,134
"HAIL","TX",4,287
"HEAT","LA",4,0
"HEAT","WI",4,43
"HEAT WAVE","MO",4,0
"HEAT WAVE DROUGHT","PA",4,15
"HEAVY RAIN","MD",4,35
"HEAVY RAIN","NJ",4,4
"HEAVY RAIN","TX",4,5
"HEAVY SNOW","AK",4,16
"HEAVY SNOW","NM",4,11
"HEAVY SNOW","NV",4,11
"HEAVY SURF","CA",4,40
"HEAVY SURF/HIGH SURF","HI",4,10
"HEAVY SURF/HIGH SURF","PR",4,0
"HIGH WIND","AZ",4,18
"HIGH WIND","MA",4,12
"HIGH WIND","SC",4,6
"HIGH WIND/SEAS","AK",4,0
"HIGH WINDS","CA",4,110
"HIGH WINDS","GA",4,23
"HIGH WINDS","NY",4,18
"HIGH WINDS","WA",4,2
"HURRICANE/TYPHOON","VA",4,0
"Hypothermia/Exposure","NM",4,0
"ICE","WA",4,72
"ICE STORM","AR",4,0
"ICE STORM","NE",4,5
"LANDSLIDE","CO",4,14
"LANDSLIDE","NC",4,11
"LIGHTNING","CT",4,59
"MARINE STRONG WIND","AN",4,18
"Mudslide","WA",4,0
"RAIN/SNOW","CA",4,2
"RIP CURRENT","AS",4,1
"STRONG WIND","AR",4,3
"STRONG WIND","CA",4,25
"STRONG WIND","TN",4,3
"STRONG WIND","VA",4,11
"STRONG WIND","WI",4,6
"THUNDERSTORM WIND","FL",4,38
"THUNDERSTORM WIND","LA",4,17
"THUNDERSTORM WIND","NC",4,34
"THUNDERSTORM WIND","TN",4,39
"THUNDERSTORM WIND","TX",4,121
"THUNDERSTORM WINDS","AL",4,28
"THUNDERSTORM WINDS","FL",4,30
"TORNADO","CT",4,703
"TORNADO","MT",4,21
"TORNADO","WY",4,101
"TSTM WIND","MT",4,23
"TSTM WIND","NV",4,5
"WILD/FOREST FIRE","CA",4,355
"WILD/FOREST FIRE","WA",4,7
"WINTER STORM","NV",4,16
"WINTER STORM","WA",4,1
"AVALANCHE","NH",3,1
"AVALANCHE","OR",3,5
"BLIZZARD","IA",3,7
"BLIZZARD","ID",3,1
"BLIZZARD","MT",3,7
"BLIZZARD","NJ",3,0
"BLIZZARD","UT",3,50
"BLIZZARD","WA",3,1
"BLIZZARD","WV",3,0
"COASTAL FLOOD","AK",3,0
"COLD","WI",3,21
"COLD WAVE","MI",3,0
"COLD WEATHER","SC",3,0
"COLD/WIND CHILL","FL",3,1
"COLD/WIND CHILL","NM",3,0
"COLD/WIND CHILL","NV",3,0
"DENSE FOG","FL",3,17
"DENSE FOG","UT",3,29
"DUST STORM","CA",3,95
"EXCESSIVE HEAT","MI",3,279
"EXCESSIVE HEAT","WA",3,0
"EXTREME COLD","IN",3,0
"EXTREME COLD","MS",3,0
"EXTREME COLD","TN",3,0
"EXTREME COLD","VA",3,0
"EXTREME COLD","WV",3,5
"EXTREME COLD/WIND CHILL","OH",3,0
"EXTREME HEAT","LA",3,0
"EXTREME WINDCHILL","NY",3,0
"FLASH FLOOD","FL",3,2
"FLASH FLOOD","NE",3,4
"FLASH FLOOD","VT",3,0
"FLASH FLOODING","TN",3,0
"FLOOD","AK",3,0
"FLOOD","NE",3,0
"FLOOD","NH",3,1
"FLOOD","WI",3,2
"FLOOD/FLASH FLOOD","VA",3,0
"FOG","FL",3,30
"FOG","UT",3,3
"HEAT","AZ",3,0
"HEAT WAVE","IA",3,0
"HEAT WAVE","NE",3,0
"HEAT WAVE","TX",3,201
"HEAVY SNOW","AZ",3,45
"HEAVY SNOW","IA",3,0
"HEAVY SNOW","NC",3,2
"HEAVY SNOW","TX",3,1
"HEAVY SNOW","VA",3,1
"Heavy surf and wind","WA",3,0
"HEAVY SURF/HIGH SURF","NY",3,0
"High Surf","HI",3,4
"HIGH SURF","VI",3,0
"HIGH WIND","CO",3,69
"HIGH WIND","MI",3,10
"HIGH WIND","MT",3,19
"HIGH WIND","NV",3,33
"HIGH WIND AND SEAS","VA",3,20
"HIGH WINDS/SNOW","SD",3,6
"HYPOTHERMIA/EXPOSURE","NM",3,0
"ICE STORM","NV",3,2
"LIGHTNING","VT",3,9
"LIGHTNING","WA",3,26
"MARINE TSTM WIND","AM",3,8
"RIP CURRENT","OR",3,2
"RIP CURRENT","VA",3,0
