"EVTYPE","STATE","total_f","total_i"
"EXTREME COLD","AZ",0,0
"EXTREME COLD","DE",0,0
"EXTREME COLD","ID",0,0
"EXTREME COLD","KS",0,0
"EXTREME COLD","KY",0,0
"EXTREME COLD","MA",0,0
"EXTREME COLD","MT",0,0
"EXTREME COLD","NE",0,1
"EXTREME COLD","NJ",0,0
"EXTREME COLD","NM",0,0
"EXTREME COLD","NV",0,0
"EXTREME COLD","OR",0,0
"EXTREME COLD","UT",0,0
"EXTREME COLD","VT",0,0
"EXTREME COLD/WIND CHILL","AK",0,0
"EXTREME COLD/WIND CHILL","AL",0,0
"EXTREME COLD/WIND CHILL","AZ",0,0
"EXTREME COLD/WIND CHILL","CA",0,6
"EXTREME COLD/WIND CHILL","CO",0,0
"EXTREME COLD/WIND CHILL","CT",0,0
"EXTREME COLD/WIND CHILL","DC",0,0
"EXTREME COLD/WIND CHILL","ID",0,0
"EXTREME COLD/WIND CHILL","IN",0,0
"EXTREME COLD/WIND CHILL","KS",0,0
"EXTREME COLD/WIND CHILL","KY",0,1
"EXTREME COLD/WIND CHILL","ME",0,0
"EXTREME COLD/WIND CHILL","MO",0,0
"EXTREME COLD/WIND CHILL","NC",0,0
"EXTREME COLD/WIND CHILL","NH",0,0
"EXTREME COLD/WIND CHILL","SD",0,0
"EXTREME COLD/WIND CHILL","UT",0,0
"EXTREME COLD/WIND CHILL","VA",0,0
"EXTREME COLD/WIND CHILL","VT",0,0
"EXTREME COLD/WIND CHILL","WA",0,0
"EXTREME COLD/WIND CHILL","WY",0,0
"EXTREME HEAT","AZ",0,0
"EXTREME HEAT","IN",0,80
"EXTREME HEAT","NJ",0,0
"EXTREME HEAT","NM",0,0
"EXTREME HEAT","OH",0,37
"EXTREME HEAT","PR",0,0
"EXTREME HEAT","SD",0,1
"EXTREME WIND CHILL","IA",0,0
"EXTREME WIND CHILL","ME",0,0
"EXTREME WIND CHILL","MN",0,0
"EXTREME WIND CHILL","NE",0,0
"EXTREME WIND CHILL/BLOWING SNO","SD",0,0
"EXTREME WIND CHILLS","ID",0,0
"EXTREME WINDCHILL","CO",0,0
"EXTREME WINDCHILL","CT",0,0
"EXTREME WINDCHILL","DC",0,0
"EXTREME WINDCHILL","FL",0,0
"EXTREME WINDCHILL","IA",0,0
"EXTREME WINDCHILL","ID",0,0
"EXTREME WINDCHILL","IN",0,0
"EXTREME WINDCHILL","KS",0,0
"EXTREME WINDCHILL","KY",0,0
"EXTREME WINDCHILL","MD",0,0
"EXTREME WINDCHILL","ME",0,0
"EXTREME WINDCHILL","MN",0,0
"EXTREME WINDCHILL","MO",0,0
"EXTREME WINDCHILL","NJ",0,0
"EXTREME WINDCHILL","PA",0,0
"EXTREME WINDCHILL","VA",0,0
"EXTREME WINDCHILL","VT",0,0
"EXTREME WINDCHILL","WV",0,0
"EXTREME WINDCHILL","WY",0,0
"EXTREME WINDCHILL TEMPERATURES","ME",0,0
"EXTREME WINDCHILL TEMPERATURES","NH",0,0
"EXTREME/RECORD COLD","DE",0,0
"EXTREME/RECORD COLD","MD",0,0
"EXTREME/RECORD COLD","NJ",0,0
"EXTREME/RECORD COLD","PA",0,0
"EXTREMELY WET","GA",0,0
"FALLING SNOW/ICE","NH",0,1
"FIRST FROST","CA",0,0
"FIRST SNOW","DE",0,0
"FIRST SNOW","MD",0,0
"FIRST SNOW","NJ",0,0
"FIRST SNOW","PA",0,0
"FLASH FLOOD","AK",0,0
"FLASH FLOOD","DC",0,2
"FLASH FLOOD","MA",0,0
"FLASH FLOOD","ME",0,2
"FLASH FLOOD","OR",0,0
"FLASH FLOOD","RI",0,0
"FLASH FLOOD","VI",0,0
"FLASH FLOOD - HEAVY RAIN","NC",0,0
"FLASH FLOOD FROM ICE JAMS","NY",0,0
"FLASH FLOOD LANDSLIDES","PR",0,0
"FLASH FLOOD WINDS","CA",0,0
"FLASH FLOOD/","CA",0,0
"FLASH FLOOD/ FLOOD","SC",0,0
"FLASH FLOOD/ STREET","NC",0,0
"FLASH FLOOD/FLOOD","CT",0,0
"FLASH FLOOD/FLOOD","NJ",0,0
"FLASH FLOOD/FLOOD","SC",0,0
"FLASH FLOOD/FLOOD","VT",0,0
"FLASH FLOOD/FLOOD","WI",0,0
"FLASH FLOOD/HEAVY RAIN","OR",0,0
"FLASH FLOOD/LANDSLIDE","PR",0,0
"FLASH FLOODING","AL",0,0
"FLASH FLOODING","AS",0,0
"FLASH FLOODING","AZ",0,0
"FLASH FLOODING","CA",0,0
"FLASH FLOODING","CO",0,0
"FLASH FLOODING","FL",0,0
"FLASH FLOODING","GA",0,0
"FLASH FLOODING","HI",0,1
"FLASH FLOODING","IA",0,2
"FLASH FLOODING","ID",0,0
"FLASH FLOODING","KS",0,0
"FLASH FLOODING","KY",0,0
"FLASH FLOODING","LA",0,0
"FLASH FLOODING","MD",0,1
"FLASH FLOODING","NE",0,0
"FLASH FLOODING","NM",0,0
"FLASH FLOODING","NV",0,0
"FLASH FLOODING","OH",0,0
"FLASH FLOODING","PR",0,0
"FLASH FLOODING","SC",0,2
"FLASH FLOODING","VA",0,0
"FLASH FLOODING","WY",0,0
"FLASH FLOODING/THUNDERSTORM WI","AL",0,0
"FLASH FLOODS","AZ",0,0
"FLASH FLOODS","GA",0,0
"FLASH FLOODS","KY",0,0
"FLASH FLOODS","MN",0,0
"FLASH FLOODS","NC",0,0
"FLASH FLOODS","NV",0,0
"FLASH FLOODS","OH",0,0
"FLASH FLOODS","SC",0,0
"FLASH FLOOODING","TX",0,0
"Flood","MD",0,0
"FLOOD","AL",0,0
"FLOOD","AS",0,0
"FLOOD","CO",0,0
"FLOOD","DC",0,0
"FLOOD","DE",0,2
"FLOOD","GU",0,1
"FLOOD","HI",0,0
"FLOOD","ID",0,1
"FLOOD","RI",0,0
"FLOOD","VI",0,0
"FLOOD FLASH","PA",0,0
"FLOOD FLOOD/FLASH","PA",0,0
"FLOOD WATCH/","AK",0,0
"FLOOD/FLASH","SC",0,0
"FLOOD/FLASH","WV",0,0
"Flood/Flash Flood","GA",0,0
"FLOOD/FLASH FLOOD","DC",0,0
"FLOOD/FLASH FLOOD","DE",0,0
"FLOOD/FLASH FLOOD","FL",0,0
"FLOOD/FLASH FLOOD","GA",0,0
"FLOOD/FLASH FLOOD","IL",0,0
"FLOOD/FLASH FLOOD","MD",0,0
"FLOOD/FLASH FLOOD","MI",0,0
"FLOOD/FLASH FLOOD","MN",0,0
"FLOOD/FLASH FLOOD","MO",0,0
"FLOOD/FLASH FLOOD","MS",0,0
"FLOOD/FLASH FLOOD","NY",0,0
"FLOOD/FLASH FLOOD","OH",0,0
"FLOOD/FLASH FLOOD","SC",0,0
"FLOOD/FLASH FLOOD","WY",0,0
"FLOOD/FLASH FLOODING","NJ",0,0
"FLOOD/FLASH FLOODING","PA",0,0
"FLOOD/FLASH/FLOOD","NY",0,0
"FLOOD/FLASHFLOOD","WV",0,0
"FLOOD/RAIN/WIND","CA",0,0
"FLOOD/RAIN/WINDS","CA",0,0
"Flood/Strong Wind","SD",0,0
"FLOODING","CO",0,0
"FLOODING","FL",0,0
"FLOODING","IA",0,0
"FLOODING","IL",0,0
"FLOODING","KS",0,0
"FLOODING","KY",0,0
"FLOODING","MD",0,0
"FLOODING","MI",0,0
"FLOODING","MO",0,0
"FLOODING","MS",0,0
"FLOODING","MT",0,0
"FLOODING","NC",0,0
"FLOODING","NE",0,0
"FLOODING","NV",0,0
"FLOODING","OR",0,0
"FLOODING","SC",0,0
"FLOODING","SD",0,1
"FLOODING","TN",0,0
"FLOODING","UT",0,0
"FLOODING","VA",0,0
"FLOODING","WI",0,0
"FLOODING","WV",0,0
"FLOODING/HEAVY RAIN","CA",0,0
"FLOODS","ID",0,0
"FLOODS","IL",0,0
"FLOODS","NC",0,0
"FOG","AL",0,20
"FOG","AZ",0,8
"FOG","DC",0,0
"FOG","DE",0,0
"FOG","GA",0,0
"FOG","IA",0,0
"FOG","ID",0,0
"FOG","IL",0,0
"FOG","KY",0,0
"FOG","LA",0,54
"FOG","ME",0,24
"FOG","MN",0,0
"FOG","MO",0,0
"FOG","MT",0,0
"FOG","NE",0,2
"FOG","NJ",0,0
"FOG","NV",0,0
"FOG","OK",0,0
"FOG","PA",0,16
"FOG","TX",0,4
"FOG","VA",0,0
"FOG","VT",0,0
"FOG","WY",0,5
"FOREST FIRES","MT",0,0
"Freeze","CO",0,0
"FREEZE","AK",0,0
"FREEZE","CA",0,0
"FREEZE","CO",0,0
"FREEZE","CT",0,0
"FREEZE","FL",0,0
"FREEZE","IA",0,0
"FREEZE","KS",0,0
"FREEZE","MA",0,0
"FREEZE","MD",0,0
"FREEZE","MO",0,0
"FREEZE","NE",0,0
"FREEZE","NY",0,0
"FREEZE","VA",0,0
"FREEZE","VT",0,0
"FREEZE","WV",0,0
"Freezing drizzle","VT",0,0
"Freezing Drizzle","NY",0,0
"Freezing Drizzle","VT",0,0
"Freezing Drizzle","WI",0,0
"FREEZING DRIZZLE","CO",0,0
"FREEZING DRIZZLE","DE",0,0
"FREEZING DRIZZLE","IL",0,0
"FREEZING DRIZZLE","KY",0,0
"FREEZING DRIZZLE","MA",0,0
"FREEZING DRIZZLE","MO",0,0
"FREEZING DRIZZLE","NJ",0,0
"FREEZING DRIZZLE","NY",0,0
"FREEZING DRIZZLE","OK",0,0
"FREEZING DRIZZLE","PA",0,0
"FREEZING DRIZZLE","RI",0,0
"FREEZING DRIZZLE","TN",0,2
"FREEZING DRIZZLE","TX",0,0
"FREEZING DRIZZLE AND FREEZING","OK",0,0
"Freezing Fog","MT",0,0
"FREEZING FOG","AL",0,0
"FREEZING FOG","AR",0,0
"FREEZING FOG","GA",0,0
"FREEZING FOG","IL",0,0
"FREEZING FOG","IN",0,0
"FREEZING FOG","KS",0,0
"FREEZING FOG","KY",0,0
"FREEZING FOG","MD",0,0
"FREEZING FOG","ME",0,0
"FREEZING FOG","MI",0,0
"FREEZING FOG","MO",0,0
"FREEZING FOG","MT",0,0
"FREEZING FOG","NC",0,0
"FREEZING FOG","NH",0,0
"FREEZING FOG","NV",0,0
"FREEZING FOG","SC",0,0
"FREEZING FOG","SD",0,0
"FREEZING FOG","TN",0,0
"FREEZING FOG","TX",0,0
"FREEZING FOG","VA",0,0
"FREEZING FOG","WA",0,0
"FREEZING FOG","WV",0,0
"Freezing rain","NC",0,0
"Freezing rain","SC",0,0
"Freezing Rain","ME",0,0
"Freezing Rain","NC",0,0
"Freezing Rain","NH",0,0
"Freezing Rain","NY",0,0
"Freezing Rain","PA",0,0
"Freezing Rain","WI",0,0
"FREEZING RAIN","AL",0,0
"FREEZING RAIN","AR",0,0
"FREEZING RAIN","CT",0,0
"FREEZING RAIN","DC",0,0
"FREEZING RAIN","DE",0,0
"FREEZING RAIN","GA",0,0
"FREEZING RAIN","ID",0,0
"FREEZING RAIN","IL",0,0
"FREEZING RAIN","IN",0,0
"FREEZING RAIN","KY",0,0
"FREEZING RAIN","MA",0,0
"FREEZING RAIN","MD",0,0
"FREEZING RAIN","MI",0,0
"FREEZING RAIN","MN",0,0
"FREEZING RAIN","MO",0,0
"FREEZING RAIN","MT",0,0
"FREEZING RAIN","NC",0,0
"FREEZING RAIN","NH",0,0
"FREEZING RAIN","NJ",0,0
"FREEZING RAIN","NM",0,0
"FREEZING RAIN","NY",0,0
"FREEZING RAIN","OH",0,2
"FREEZING RAIN","OK",0,0
"FREEZING RAIN","OR",0,0
"FREEZING RAIN","RI",0,0
"FREEZING RAIN","SC",0,0
"FREEZING RAIN","SD",0,0
"FREEZING RAIN","TX",0,0
"FREEZING RAIN","VA",0,0
"FREEZING RAIN","VT",0,0
"FREEZING RAIN","WI",0,0
"FREEZING RAIN","WV",0,0
"FREEZING RAIN AND SLEET","DE",0,0
"FREEZING RAIN AND SLEET","MD",0,0
"FREEZING RAIN AND SLEET","NJ",0,0
"FREEZING RAIN AND SLEET","OK",0,0
"FREEZING RAIN AND SLEET","PA",0,0
"FREEZING RAIN AND SNOW","OK",0,0
"FREEZING RAIN SLEET AND","OK",0,0
"FREEZING RAIN SLEET AND LIGHT","PA",0,0
"FREEZING RAIN/SLEET","GA",0,0
"FREEZING RAIN/SLEET","IA",0,0
"FREEZING RAIN/SLEET","NC",0,0
"FREEZING RAIN/SLEET","PA",0,0
"FREEZING RAIN/SLEET","SC",0,0
"FREEZING RAIN/SNOW","IA",0,0
"FREEZING RAIN/SNOW","NE",0,0
"FREEZING RAIN/SNOW","SD",0,0
"Frost","IL",0,0
"Frost","IN",0,0
"Frost","KY",0,0
"Frost","MO",0,0
"FROST","CA",0,0
"FROST","IA",0,0
"FROST","ID",0,0
"FROST","IL",0,0
"FROST","IN",0,0
"FROST","KY",0,0
"FROST","MO",0,0
"FROST","NM",0,0
"FROST","NY",0,0
"FROST","UT",0,0
"FROST","VA",0,0
"FROST","VT",0,0
"FROST","WV",0,0
"Frost/Freeze","IA",0,0
"FROST/FREEZE","AK",0,0
"FROST/FREEZE","AL",0,0
"FROST/FREEZE","AR",0,0
"FROST/FREEZE","AZ",0,0
"FROST/FREEZE","CA",0,0
"FROST/FREEZE","CO",0,0
"FROST/FREEZE","CT",0,0
"FROST/FREEZE","DC",0,0
"FROST/FREEZE","DE",0,0
"FROST/FREEZE","FL",0,0
"FROST/FREEZE","GA",0,0
"FROST/FREEZE","IA",0,0
"FROST/FREEZE","ID",0,0
"FROST/FREEZE","IL",0,0
"FROST/FREEZE","IN",0,0
"FROST/FREEZE","KS",0,0
"FROST/FREEZE","KY",0,0
"FROST/FREEZE","MA",0,0
"FROST/FREEZE","MD",0,0
"FROST/FREEZE","MI",0,0
"FROST/FREEZE","MN",0,0
"FROST/FREEZE","MO",0,0
"FROST/FREEZE","MS",0,0
"FROST/FREEZE","NC",0,0
"FROST/FREEZE","ND",0,0
"FROST/FREEZE","NE",0,0
"FROST/FREEZE","NH",0,0
"FROST/FREEZE","NJ",0,0
"FROST/FREEZE","NV",0,0
"FROST/FREEZE","NY",0,0
"FROST/FREEZE","OH",0,0
"FROST/FREEZE","OR",0,0
"FROST/FREEZE","PA",0,0
"FROST/FREEZE","SC",0,0
"FROST/FREEZE","TN",0,0
"FROST/FREEZE","TX",0,0
"FROST/FREEZE","UT",0,0
"FROST/FREEZE","VA",0,0
"FROST/FREEZE","VT",0,0
"FROST/FREEZE","WA",0,0
"FROST/FREEZE","WI",0,0
"FROST/FREEZE","WV",0,0
"FROST\FREEZE","MT",0,0
"FUNNEL","AL",0,0
"FUNNEL","MO",0,0
"FUNNEL","MS",0,0
"FUNNEL","ND",0,0
"FUNNEL","OH",0,0
"FUNNEL","PA",0,0
"FUNNEL","TX",0,0
"FUNNEL","WI",0,0
"Funnel Cloud","OR",0,0
"Funnel Cloud","PR",0,0
"FUNNEL CLOUD","AK",0,0
"FUNNEL CLOUD","AL",0,0
"FUNNEL CLOUD","AR",0,0
"FUNNEL CLOUD","AS",0,0
"FUNNEL CLOUD","AZ",0,0
"FUNNEL CLOUD","CA",0,2
"FUNNEL CLOUD","CO",0,0
"FUNNEL CLOUD","CT",0,0
"FUNNEL CLOUD","DC",0,0
"FUNNEL CLOUD","DE",0,0
"FUNNEL CLOUD","FL",0,0
"FUNNEL CLOUD","GA",0,0
"FUNNEL CLOUD","GU",0,0
"FUNNEL CLOUD","HI",0,0
"FUNNEL CLOUD","IA",0,0
"FUNNEL CLOUD","ID",0,0
"FUNNEL CLOUD","IL",0,0
"FUNNEL CLOUD","IN",0,0
"FUNNEL CLOUD","KS",0,0
"FUNNEL CLOUD","KY",0,0
"FUNNEL CLOUD","LA",0,0
"FUNNEL CLOUD","MA",0,0
"FUNNEL CLOUD","MD",0,0
"FUNNEL CLOUD","ME",0,0
"FUNNEL CLOUD","MI",0,0
"FUNNEL CLOUD","MN",0,0
"FUNNEL CLOUD","MO",0,0
"FUNNEL CLOUD","MS",0,0
"FUNNEL CLOUD","MT",0,0
"FUNNEL CLOUD","NC",0,0
"FUNNEL CLOUD","ND",0,0
"FUNNEL CLOUD","NE",0,0
"FUNNEL CLOUD","NH",0,0
"FUNNEL CLOUD","NJ",0,0
"FUNNEL CLOUD","NM",0,0
"FUNNEL CLOUD","NV",0,0
"FUNNEL CLOUD","NY",0,0
"FUNNEL CLOUD","OH",0,0
"FUNNEL CLOUD","OK",0,0
"FUNNEL CLOUD","OR",0,0
"FUNNEL CLOUD","PA",0,0
"FUNNEL CLOUD","PR",0,0
"FUNNEL CLOUD","RI",0,0
"FUNNEL CLOUD","SC",0,0
"FUNNEL CLOUD","SD",0,1
"FUNNEL CLOUD","TN",0,0
"FUNNEL CLOUD","TX",0,0
"FUNNEL CLOUD","UT",0,0
"FUNNEL CLOUD","VA",0,0
"FUNNEL CLOUD","VI",0,0
"FUNNEL CLOUD","VT",0,0
"FUNNEL CLOUD","WA",0,0
"FUNNEL CLOUD","WI",0,0
"FUNNEL CLOUD","WV",0,0
"FUNNEL CLOUD","WY",0,0
"FUNNEL CLOUD.","MS",0,0
"FUNNEL CLOUD/HAIL","KS",0,0
"FUNNEL CLOUDS","AR",0,0
"FUNNEL CLOUDS","AZ",0,0
"FUNNEL CLOUDS","CA",0,0
"FUNNEL CLOUDS","CO",0,0
"FUNNEL CLOUDS","DE",0,0
"FUNNEL CLOUDS","FL",0,0
"FUNNEL CLOUDS","GA",0,0
"FUNNEL CLOUDS","HI",0,0
"FUNNEL CLOUDS","IA",0,0
"FUNNEL CLOUDS","IL",0,0
"FUNNEL CLOUDS","LA",0,0
"FUNNEL CLOUDS","MI",0,0
"FUNNEL CLOUDS","MN",0,0
"FUNNEL CLOUDS","NC",0,0
"FUNNEL CLOUDS","NE",0,0
"FUNNEL CLOUDS","NM",0,0
"FUNNEL CLOUDS","NV",0,0
"FUNNEL CLOUDS","SC",0,0
"FUNNEL CLOUDS","TX",0,0
"FUNNEL CLOUDS","UT",0,0
"FUNNEL CLOUDS","WI",0,0
"FUNNEL CLOUDS","WY",0,0
"FUNNELS","TX",0,0
"Glaze","MN",0,0
"Glaze","TX",0,0
"Glaze","WI",0,0
"GLAZE","CT",0,0
"GLAZE","IN",0,0
"GLAZE","MN",0,0
"GLAZE","MO",0,0
"GLAZE","OH",0,166
"GLAZE","PA",0,42
"GLAZE","RI",0,0
"GLAZE","WI",0,0
"GLAZE ICE","IL",0,0
"GLAZE ICE","MO",0,0
"GLAZE/ICE STORM","MO",0,15
"gradient wind","TX",0,0
"Gradient wind","NC",0,0
"Gradient wind","TX",0,0
"GRADIENT WIND","IA",0,0
"GRADIENT WIND","IL",0,0
"GRADIENT WIND","OK",0,0
"GRADIENT WINDS","IN",0,0
"GRADIENT WINDS","KY",0,0
"GRASS FIRES","KY",0,0
"GROUND BLIZZARD","IA",0,0
"GROUND BLIZZARD","MT",0,0
"GUSTNADO","IA",0,0
"GUSTNADO","TX",0,0
"GUSTNADO AND","CA",0,0
"GUSTY LAKE WIND","CA",0,0
"GUSTY THUNDERSTORM WIND","VT",0,0
"GUSTY THUNDERSTORM WINDS","NY",0,0
"GUSTY THUNDERSTORM WINDS","VT",0,0
"Gusty Wind","NY",0,0
"GUSTY WIND","CA",0,1
"GUSTY WIND","DC",0,0
"GUSTY WIND","GA",0,0
"GUSTY WIND","MD",0,0
"GUSTY WIND","SC",0,0
"GUSTY WIND","VA",0,0
"GUSTY WIND/HAIL","CA",0,0
"GUSTY WIND/HVY RAIN","VA",0,0
"Gusty wind/rain","VA",0,0
"Gusty winds","NC",0,2
"Gusty winds","SC",0,0
"Gusty Winds","DC",0,0
"Gusty Winds","MD",0,0
"Gusty Winds","VA",0,1
"Gusty Winds","WV",0,0
"GUSTY WINDS","DC",0,0
"GUSTY WINDS","GA",0,0
"GUSTY WINDS","MA",0,0
"GUSTY WINDS","MD",0,1
"GUSTY WINDS","NH",0,0
"GUSTY WINDS","NY",0,0
"GUSTY WINDS","RI",0,0
"GUSTY WINDS","SC",0,6
"GUSTY WINDS","VA",0,0
"GUSTY WINDS","VT",0,0
"GUSTY WINDS","WV",0,0
"HAIL","AK",0,0
"HAIL","AL",0,1
"HAIL","AR",0,52
"HAIL","CO",0,121
"HAIL","CT",0,0
"HAIL","DC",0,0
"HAIL","DE",0,0
"HAIL","FL",0,8
"HAIL","GA",0,2
"HAIL","HI",0,0
"HAIL","ID",0,6
"HAIL","IL",0,44
"HAIL","IN",0,0
"HAIL","KS",0,121
"HAIL","KY",0,8
"HAIL","LA",0,8
"HAIL","MA",0,2
"HAIL","MD",0,1
"HAIL","ME",0,2
"HAIL","MI",0,8
"HAIL","MN",0,30
"HAIL","MO",0,6
"HAIL","MS",0,18
"HAIL","MT",0,7
"HAIL","NC",0,1
"HAIL","ND",0,27
"HAIL","NE",0,93
"HAIL","NH",0,0
"HAIL","NJ",0,0
"HAIL","NY",0,89
"HAIL","OH",0,13
"HAIL","OK",0,30
"HAIL","OR",0,6
"HAIL","PA",0,1
"HAIL","PR",0,0
"HAIL","RI",0,0
"HAIL","SD",0,61
"HAIL","TN",0,15
"HAIL","UT",0,8
"HAIL","VA",0,2
"HAIL","VI",0,0
"HAIL","VT",0,0
"HAIL","WA",0,13
"HAIL","WI",0,41
"HAIL","WV",0,3
"HAIL","WY",0,14
"HAIL 0.75","KS",0,0
"HAIL 0.75","KY",0,0
"HAIL 0.75","MS",0,0
"HAIL 0.75","NY",0,0
"HAIL 0.75","OH",0,0
"HAIL 0.75","SD",0,0
"HAIL 0.75","WV",0,0
"HAIL 0.88","MS",0,0
"HAIL 075","NE",0,0
"HAIL 088","OH",0,0
"HAIL 1.00","KS",0,0
"HAIL 1.00","MS",0,0
"HAIL 1.00","ND",0,0
"HAIL 1.00","NY",0,0
"HAIL 1.75","KY",0,0
"HAIL 1.75","MS",0,0
"HAIL 1.75","ND",0,0
"HAIL 1.75)","AL",0,0
"HAIL 100","ND",0,0
"HAIL 100","NE",0,0
"HAIL 100","OK",0,0
"HAIL 100","PA",0,0
"HAIL 100","TX",0,0
"HAIL 100","WI",0,0
"HAIL 125","NE",0,0
"HAIL 150","NE",0,0
"HAIL 150","TX",0,0
"HAIL 175","NE",0,0
"HAIL 175","PA",0,0
"HAIL 175","TX",0,0
"HAIL 175","WI",0,0
"HAIL 200","NE",0,0
"HAIL 225","MN",0,0
"HAIL 275","TX",0,0
"HAIL 450","TX",0,0
"HAIL 75","CO",0,0
"HAIL 75","IL",0,0
"HAIL 75","NE",0,0
"HAIL 75","PA",0,0
"HAIL 75","TX",0,0
"HAIL 80","IL",0,0
"HAIL 88","NE",0,0
"HAIL ALOFT","SC",0,0
"HAIL DAMAGE","NM",0,0
"HAIL DAMAGE","VA",0,0
"HAIL FLOODING","NV",0,0
"HAIL STORM","AZ",0,0
"Hail(0.75)","OR",0,0
"HAIL/ICY ROADS","OR",0,0
"HAIL/WIND","KY",0,0
"HAIL/WIND","OR",0,0
"HAIL/WINDS","KY",0,0
"HAILSTORM","TX",0,0
"HAILSTORMS","TX",0,0
"HARD FREEZE","FL",0,0
"HARD FREEZE","NE",0,0
"HAZARDOUS SURF","CA",0,1
"HEAT","CT",0,0
"HEAT","DE",0,0
"HEAT","IA",0,0
"HEAT","IN",0,0
"HEAT","MA",0,0
"HEAT","MN",0,0
"HEAT","MT",0,0
"HEAT","NE",0,0
"HEAT","NH",0,0
"HEAT","NJ",0,4
"HEAT","NY",0,0
"HEAT","OH",0,0
"HEAT","OR",0,0
"HEAT","SD",0,0
"HEAT","VA",0,0
"HEAT","VT",0,0
"HEAT","WA",0,0
"HEAT","WV",0,0
"HEAT DROUGHT","UT",0,0
"Heat Wave","WI",0,70
"HEAT WAVE","IL",0,1
"HEAT WAVE","KY",0,5
"HEAT WAVE","MD",0,0
"HEAT WAVE","VA",0,22
"HEAT WAVE","WI",0,0
"HEAT WAVES","NJ",0,0
"HEAT/DROUGHT","UT",0,0
"Heatburst","OK",0,0
"HEAVY LAKE SNOW","MI",0,0
"HEAVY MIX","NY",0,0
"HEAVY MIX","VT",0,0
"HEAVY PRECIPATATION","CA",0,0
"Heavy Precipitation","NJ",0,0
"Heavy Precipitation","PA",0,0
"HEAVY PRECIPITATION","OR",0,0
"Heavy rain","NC",0,0
"Heavy rain","NH",0,0
"Heavy rain","NV",0,0
"Heavy Rain","CA",0,0
"Heavy Rain","CT",0,0
"Heavy Rain","DE",0,0
"Heavy Rain","MA",0,0
"Heavy Rain","MD",0,0
"Heavy Rain","ME",0,0
"Heavy Rain","NH",0,0
"Heavy Rain","NJ",0,0
"Heavy Rain","PA",0,0
"Heavy Rain","RI",0,0
"Heavy Rain","TX",0,0
"HEAVY RAIN","AK",0,0
"HEAVY RAIN","AS",0,0
"HEAVY RAIN","DC",0,2
"HEAVY RAIN","DE",0,1
"HEAVY RAIN","FL",0,1
"HEAVY RAIN","IA",0,0
"HEAVY RAIN","IL",0,0
"HEAVY RAIN","IN",0,0
"HEAVY RAIN","KS",0,7
"HEAVY RAIN","KY",0,0
"HEAVY RAIN","LA",0,0
"HEAVY RAIN","MA",0,0
"HEAVY RAIN","ME",0,0
"HEAVY RAIN","MI",0,0
"HEAVY RAIN","MN",0,0
"HEAVY RAIN","MS",0,1
"HEAVY RAIN","MT",0,0
"HEAVY RAIN","NC",0,7
"HEAVY RAIN","NE",0,0
"HEAVY RAIN","NH",0,0
"HEAVY RAIN","NV",0,0
"HEAVY RAIN","NY",0,7
"HEAVY RAIN","OK",0,1
"HEAVY RAIN","OR",0,0
"HEAVY RAIN","RI",0,0
"HEAVY RAIN","SD",0,0
"HEAVY RAIN","UT",0,0
"HEAVY RAIN","VA",0,0
"HEAVY RAIN","VI",0,0
"HEAVY RAIN","VT",0,0
"HEAVY RAIN","WI",0,2
"HEAVY RAIN","WY",0,0
"HEAVY RAIN AND FLOOD","NH",0,0
"Heavy Rain and Wind","DE",0,0
"Heavy Rain and Wind","MD",0,0
"Heavy Rain and Wind","NJ",0,0
"Heavy Rain and Wind","PA",0,0
"HEAVY RAIN EFFECTS","NC",0,0
"HEAVY RAIN; URBAN FLOOD WINDS;","OR",0,0
"HEAVY RAIN/FLOODING","CO",0,0
"HEAVY RAIN/FLOODING","SD",0,0
"Heavy Rain/High Surf","HI",0,0
"HEAVY RAIN/LIGHTNING","AL",0,0
"HEAVY RAIN/MUDSLIDES/FLOOD","SC",0,0
"HEAVY RAIN/SEVERE WEATHER","LA",0,0
"HEAVY RAIN/SEVERE WEATHER","MS",0,0
"HEAVY RAIN/SMALL STREAM URBAN","PR",0,0
"HEAVY RAIN/SNOW","ID",0,0
"HEAVY RAIN/URBAN FLOOD","PR",0,0
"HEAVY RAIN/WIND","MD",0,0
"HEAVY RAIN/WIND","NJ",0,0
"HEAVY RAIN/WIND","PA",0,0
"HEAVY RAINFALL","ME",0,0
"HEAVY RAINFALL","NH",0,0
"HEAVY RAINFALL","TX",0,0
"HEAVY RAINS","AL",0,0
"HEAVY RAINS","ID",0,0
"HEAVY RAINS","ME",0,0
"HEAVY RAINS","ND",0,0
"HEAVY RAINS","PR",0,0
"HEAVY RAINS","SC",0,0
"HEAVY RAINS","SD",0,4
"HEAVY RAINS","WI",0,0
"HEAVY RAINS/FLOODING","SC",0,0
"HEAVY SHOWER","PR",0,0
"HEAVY SHOWERS","PR",0,0
"HEAVY SNOW","AL",0,0
"HEAVY SNOW","AR",0,0
"HEAVY SNOW","CT",0,0
"HEAVY SNOW","DC",0,0
"HEAVY SNOW","DE",0,30
"HEAVY SNOW","GA",0,1
"HEAVY SNOW","HI",0,0
"HEAVY SNOW","LA",0,0
"HEAVY SNOW","MA",0,1
"HEAVY SNOW","MD",0,0
"HEAVY SNOW","ME",0,0
"HEAVY SNOW","MN",0,0
"HEAVY SNOW","MO",0,2
"HEAVY SNOW","MS",0,0
